"MP_key","Code_MP","Libelle","Categorie","Cout_Unitaire","Unite_Mesure","Fournisseur_Principal"
1,"004","couvercle en cuivre","Cuivre","20.46","Piece","kamel hidri"
2,"20250037V","bomboniere soug","Autre","22000.0","Piece","oriental design"
3,"N° FAC-2501426","Sac à poignées kraft brun neutre 32x18x32","Autre","0","Piece","Societé Shop"
4,"0018/2025","pack 1(2 tasse + 2 sous tasse + plateau)","Autre","27.0","Piece","karima dachraoui"
5,"N° FAC-2500573","CAISSE CARTON DO ","Autre","3.6","Piece","societé shop"
6,"32303670","Shell fuel save super sans plomb","Autre","2.046","Piece","vivo energy"
7,"FAC-2501814","Sac à poignées kraft brun ","Autre","0.9","Piece","societé shop"
8,"2503327305","internet","Autre","0","Piece","orange"
10,"SANS_REF","Bouteills/porte clé/ vase/diffuseur","Autre","0","Piece","Sté Laouiti Artisanat"
11,"2500573","caisse carton DO TCTL","Autre","3.6","Piece","KAMTRADE"
12,"SANS_REF","Photoplore31+21","Autre","0","Piece","Hamza"
13,"00556","rouleau scotch embal marron","Autre","4.5","Piece","delta ditruibution"
14,"20250108V","carafe c3/carafe medina/shop1/shop2","Autre","0","Piece","Oriental Design"
15,"250512","impression VMDB avec decoupe de diametre","Autre","0.05","Piece","3P"
16,"2500485","EBOX","Autre","0.98","Piece","Kam trade"
17,"2500410","couvergle micro tbtl","Autre","321.38","Piece","Kam trade"
18,"00.3","garnd Mug+ensemble petite tasse avec supp bougie","Autre","54.0","Piece","Zouba the ceramic studio"
19,"2025030002182250","Non précisé","Autre","0","Piece","Tunisie Telecom"
23,"005301","sac carton","Autre","841.0","Piece","ben ghorbal kawther"
24,"SANS_REF","papier","Autre","43.0","Piece","quincaillerie generale"
26,"SANS_REF","serie phtotplore+solo+trio","Autre","125.0","Piece","marwen zayana"
27,"000064","bouteilles P.M","Autre","8.0","Piece","sté laouiti Artisanat"
31,"SANS_REF","tass","Autre","12.0","Piece","keramos"
32,"201","fouta","Autre","6.5","Piece","bannour ahmed"
33,"20250107V","carafe c3/carafe medina/chope1/chope2/flute avec base","Autre","0","Piece","Oriental Design"
41,"4/2025","tasse+soustasse","Autre","0","Piece","atelier keramos"
43,"FAC250375","Etiquettes","Autre","0.05","Piece","3p Print Production Pixel"
44,"6468","Service a table","Autre","50.0","Piece","ENNAIM"
45,"TUN/1900447491-DOI"," Services d’expédition nationale (ONP – Domestic Outbound)","Autre","0","Piece","Aramex Tunisie"
46,"FAC -000005","Remplissage","Autre","80.0","Piece","ALCHIMY CANDLES"
47,"TUN/1900448250-DOI","Services d’expédition nationale","Autre","0","Piece","Aramex Tunisie "
49,"TUN/1900452688-DOI","Service d’expédition nationale","Autre","0","Piece","Aramex Tunisie "
51,"TUN/1900454380-DOI"," Service d’expédition national","Autre","0","Piece","Aramex Tunisie "
53,"TPV3447","SPA","Autre","0","Piece","Hotel DAR EL MARSA"
57,"20250007","MEB5ARA","Autre","20.0","Piece","SOciete FABRIEPIERRE"
62,"TUN/1900478981-DOI"," Service d’expédition nationale","Autre","0","Piece","Aramex Tunisie "
63,"141","papier A3 350g","Autre","3.5","Piece","HELMI ABBASSI"
65,"214","CARTE VISITE","Autre","0.13","Piece","HELMI ABBASSI"
69,"203","FOUTA 1/2m","Autre","6.5","Piece","BANNOUR AHMED"
71,"SANS_REF","tasse","Autre","0","Piece","Atelier Keramos"
72,"20250026V","CYLINDRE SOUGUISHOP","Autre","14.5","Piece","ORIENTAL DESIGN"
73,"20250138V","CARAFE C3 0, 90,000 CHOPE 2 0","Autre","7.0","Piece","Oriental Design"
74,"20250137V","carafe","Autre","0","Piece","Oriental Design"
75,"FA254329","STYLO PUBLICITAIRE","Autre","0.45","Piece","SBCD"
77,"264/09-2025"," Hébergement Performance ","Autre","418.8","Piece"," OXAHOST SARL"
97,"8204","Pack decoratif + vases","Autre","0","Piece","DJELASSI Hédia Eps HADDAD ESPACE IMPRESSION"
98,"005/2025","Planche + 3tasses + 2sous tasses +plateau","Autre","0","Piece","Karima Dachraoui Atelier de céramique"
101,"02","Iphone 15 ","Autre","0","Piece","Ghanem BENSALEM Brothers Phone Store"
103,"0109","Abonnement 12mois ","Autre","625.0","Piece","MIM Fitness Megrine"
105,"SANS_REF","REPAS","Autre","0","Piece","RESTAURANT LES 3 SIGNES"
112,"FA06572","Verre a vin","Autre","18.5","Piece","SMC Société Moderne de cuivre"
116,"2025/030005530","LAMPE LED 9W E27 6000K TLC","Autre","3.836","Piece","LA QUINCAILLERIE DU SAHEL"
117,"FA2500447","Location Stand SF HALL 2 + Assurances","Autre","0","Piece","Foire Internationale de Sousse"
118,"INVIL2500131111","ELEMENTOR PRO ADVANCED","Autre","0","Piece","Elementor Ltd."
119,"SANS_REF","Tasse + planche","Autre","12.0","Piece","Karima Dachraoui Atelier de céramique"
121,"F25P1033","MUG ISOTHERME A POIGNEE AVEC UNE PAILLE","Autre","23.5","Piece","PROSCOM"
123,"F25P1024","MUG ISOTHERME A POIGNEE AVEC UNE PAILLE + SACS MALTI","Autre","0","Piece","PROSCOM"
127,"52","Bourse personnalisé 30/30cm","Autre","2.5","Piece","LEM"
130,"FA244776","LUNCH BOX BAMBOO","Autre","18.0","Piece","SBCD"
132,"26189 048 0 ","Facture électricité ","Autre","0","Piece","STEG"
133,"FAC241984","IMPRESSION UV SUPPORT FOURNIT","Autre","1.25","Piece","3P"
140,"SANS_REF","Facture Eau","Autre","0","Piece","SONEDE"
